ievnt channel counts aquisition_time rate
0 1 61 60 1.016667
0 2 52 60 0.866667
1 1 81 60 1.350000
1 2 71 60 1.183333
2 1 59 60 0.983333
2 2 54 60 0.900000
3 1 67 60 1.116667
3 2 55 60 0.916667
4 1 57 60 0.950000
4 2 52 60 0.866667
