ievnt channel counts aquisition_time rate
0 1 125 60 2.083333
0 2 117 60 1.950000
1 1 130 60 2.166667
1 2 121 60 2.016667
2 1 121 60 2.016667
2 2 115 60 1.916667
3 1 128 60 2.133333
3 2 119 60 1.983333
4 1 125 60 2.083333
4 2 116 60 1.933333
