ievnt channel counts aquisition_time rate
0 1 132 60 2.200000
0 2 86 60 1.433333
1 1 135 60 2.250000
1 2 93 60 1.550000
2 1 158 60 2.633333
2 2 111 60 1.850000
3 1 113 60 1.883333
3 2 90 60 1.500000
4 1 145 60 2.416667
4 2 107 60 1.783333
