ievnt channel counts aquisition_time rate
0 1 146 60 2.433333
0 2 115 60 1.916667
1 1 174 60 2.900000
1 2 133 60 2.216667
2 1 148 60 2.466667
2 2 121 60 2.016667
3 1 155 60 2.583333
3 2 125 60 2.083333
4 1 129 60 2.150000
4 2 107 60 1.783333
