ievnt channel counts aquisition_time rate
0 1 210 60 3.500000
0 2 215 60 3.583333
1 1 204 60 3.400000
1 2 211 60 3.516667
2 1 205 60 3.416667
2 2 212 60 3.533333
3 1 218 60 3.633333
3 2 228 60 3.800000
4 1 197 60 3.283333
4 2 204 60 3.400000
