ievnt channel counts aquisition_time rate
0 1 1239 60 20.650000
1 1 1150 60 19.166666
2 1 1157 60 19.283333
3 1 1110 60 18.500000
4 1 1076 60 17.933332
5 1 1020 60 17.000000
6 1 1017 60 16.950001
7 1 907 60 15.116667
8 1 465 60 7.750000
9 1 235 60 3.916667
