ievnt channel counts aquisition_time rate
0 1 97 60 1.616667
0 2 87 60 1.450000
1 1 114 60 1.900000
1 2 107 60 1.783333
2 1 115 60 1.916667
2 2 103 60 1.716667
3 1 114 59 1.932203
3 2 102 59 1.728814
4 1 93 60 1.550000
4 2 87 60 1.450000
