ievnt channel counts aquisition_time rate
0 1 188 60 3.133333
0 2 193 60 3.216667
1 1 146 60 2.433333
1 2 148 60 2.466667
2 1 164 60 2.733333
2 2 166 60 2.766667
3 1 146 60 2.433333
3 2 150 60 2.500000
4 1 147 60 2.450000
4 2 154 60 2.566667
