ievnt channel counts aquisition_time rate
0 1 3136 300 10.453333
1 1 3005 300 10.016666
2 1 3119 300 10.396667
3 1 3137 300 10.456667
4 1 3060 300 10.200000
5 1 3102 300 10.340000
6 1 3095 300 10.316667
7 1 3055 300 10.183333
8 1 2999 300 9.996667
9 1 3082 300 10.273334
