ievnt channel counts aquisition_time rate
0 1 82 60 1.366667
0 2 78 60 1.300000
1 1 102 60 1.700000
1 2 99 60 1.650000
2 1 97 60 1.616667
2 2 95 60 1.583333
3 1 90 60 1.500000
3 2 87 60 1.450000
4 1 93 60 1.550000
4 2 86 60 1.433333
