ievnt channel counts aquisition_time rate
0 1 161 60 2.683333
0 2 188 60 3.133333
1 1 171 60 2.850000
1 2 190 60 3.166667
2 1 157 60 2.616667
2 2 169 60 2.816667
3 1 154 60 2.566667
3 2 167 60 2.783333
4 1 173 60 2.883333
4 2 183 60 3.050000
