ievnt channel counts aquisition_time rate
0 1 97 60 1.616667
0 2 91 60 1.516667
1 1 83 60 1.383333
1 2 80 60 1.333333
2 1 91 60 1.516667
2 2 85 60 1.416667
3 1 100 60 1.666667
3 2 94 60 1.566667
4 1 97 60 1.616667
4 2 86 60 1.433333
