ievnt channel counts aquisition_time rate
0 1 154 60 2.566667
0 2 133 60 2.216667
1 1 202 60 3.366667
1 2 176 60 2.933333
2 1 167 60 2.783333
2 2 148 60 2.466667
3 1 185 60 3.083333
3 2 168 60 2.800000
4 1 180 60 3.000000
4 2 154 60 2.566667
