ievnt channel counts aquisition_time rate
0 1 121 60 2.016667
0 2 92 60 1.533333
1 1 114 60 1.900000
1 2 81 60 1.350000
2 1 123 60 2.050000
2 2 98 60 1.633333
3 1 151 60 2.516667
3 2 110 60 1.833333
4 1 2 2 1.000000
4 2 1 2 0.500000
