ievnt channel counts aquisition_time rate
0 1 189 60 3.150000
0 2 213 60 3.550000
1 1 176 60 2.933333
1 2 191 60 3.183333
2 1 182 60 3.033333
2 2 197 60 3.283333
3 1 167 60 2.783333
3 2 182 60 3.033333
4 1 161 60 2.683333
4 2 175 60 2.916667
