ievnt channel counts aquisition_time rate
0 1 1203 60 20.049999
1 1 1145 60 19.083334
2 1 1143 60 19.049999
3 1 1111 60 18.516666
4 1 1042 60 17.366667
5 1 1092 60 18.200001
6 1 973 60 16.216667
7 1 666 60 11.100000
8 1 258 60 4.300000
9 1 120 60 2.000000
